Introduction	序章
You find nothing else by searching the couch.	你在沙發上搜索沒找到其他東西。
The couch looks every bit as uncomfortable as your maiden aunt's.	沙發看起來和你未婚姑母的一樣不舒服。
You find a single silver in one of the desk drawers.  You find nothing else of any value to you.  	你在辦公桌的某個抽屜裡找到一個銀幣。你沒找到其他對你有價值的東西。
The stairs lead to the door to an upstairs room.	樓梯通向樓上房間的門。
Against the wall, there is a large wooden desk with many drawers. 	靠著牆有一個大木桌，有很多抽屜。
The fire is out, but you can still feel the heat from the hearth. 	火熄了，但你仍能感到壁爐的熱。
It's a hurricane lamp.  Funny, you've never heard of hurricanes in Spielburg.	這是颶風燈。有趣的是，你從沒在史畢柏格聽說過颶風。
The light of the hurricane lamp.	颶風燈的光。
Nothing but dirt and leaves there.	那兒只有灰塵和樹葉。
It's a Shrubbery!	那是灌木叢！
The Little Old Lady left her purse on the couch.  Mighty careless of her. 	小老太太把錢包留在沙發上。她真粗心。
That'll teach you to play daggers with a cat! 	那就是你和貓玩匕首的下場！
Oh, Oh!  Looks like you've blundered into the cat's territory. 	哎呀！看起來你誤入了貓的領地。
The smell of lavender and dust fills your nose as you walk in.  This reminds you of a great aunt's house you once visited. 	當你走進去時，薰衣草和灰塵的味道充滿了你的鼻子。這讓你想起你曾經去過的姑母的房子。
There is a covered birdcage near the stairs, and a knitting basket beside the couch.	樓梯附近有一個蓋著的鳥籠，沙發旁邊有一個編織籃。
A string of pearls seems to have fallen into the bag among the knitting.  You take the pearls, of course.  (The knitting you can do without.) 	一串珍珠似乎掉進了編織物中的袋子裡。你當然拿走了珍珠。（編織物你可以不要。）
You find nothing else of value in the desk.	你在桌子裡沒找到其他有價值的東西。
In the purse, you find 20 silvers and some soiled hankies.  You take the silver. 	在錢包裡，你找到 20 個銀幣和一些髒手帕。你拿走銀幣。
The smell of lavender and dust fills your nose as you walk in.  This reminds you of a great aunt's house you once visited.	當你走進去時，薰衣草和灰塵的味道充滿了你的鼻子。這讓你想起你曾經去過的姑母的房子。
The couch looks every bit as uncomfortable as your aunt's.  There is a covered birdcage near the stairs, and a knitting basket beside the couch. 	沙發看起來和你姑母的一樣不舒服。樓梯附近有一個蓋著的鳥籠，沙發旁邊有一個編織籃。
The squared rug matches the walls.  It appears the floor has recently been painted. 	方形地毯和牆相配。地板似乎剛被粉刷過。
It's not locked.  In fact, the lock is broken.	沒有鎖。實際上，鎖壞了。
It's a large, wooden chest, undoubtedly filled with priceless treasures.	這是一個大的木製箱子，無疑裝滿了無價之寶。
It's not locked.  In fact, the lock is broken. 	沒有鎖。實際上，鎖壞了。
There is an assortment of plastic fruit on the old wooden table. 	舊木桌上有各種塑膠水果。
The wood on this table has been polished into total submission.  A lace doily guards it from dust and water rings.	這張桌子的木頭被拋光得發亮。蕾絲墊圈保護它不被灰塵和水漬傷害。
You have a weird feeling that someone is watching you, and you decide you'd better not touch anything. 	你有種奇怪的感覺，有人在盯著你，所以你決定最好別碰任何東西。
Accoutrements and equipment.	裝飾品和器材。
This mysterious orb feels as smooth as glass, and icy cold to the touch.   	這個神祕的球體摸起來光滑如玻璃，冷得像冰。
This strange globe radiates with an eerie light. 	這個奇異的球體散發著詭異的光。
That's way out of reach.	那遠遠超出範圍。
It's not a pretty sight. 	這不是好看的景象。
You can only guess at the original contents of this bottle since it is now empty. 	既然瓶子現在是空的，你只能猜測它原本的內容物。
It's a blue bottle of blue bottle flies.  	這是裝著藍瓶蒼蠅的藍色瓶子。
Since you don't have time to read, you leave them. 	因為你沒時間讀，你把它們留下了。
The titles are totally unfamiliar to you.  The books dealing with sorcery, necromancy and other occult subjects.	標題對你完全陌生。這些書涉及巫術、死靈法術和其他神祕主題。
Not knowing what the potions are, they will do you no good. 	不知道藥水是什麼，它們對你沒有用處。
Bottles of mephitic potions.	充滿惡臭的藥水瓶。
Afraid that the contents might jump out at you, you leave the jar alone. 	害怕內容物會跳出來，你不敢動這個罐子。
A brown jar of crushed cockroach essence. 	一個裝著碾碎蟑螂精華的棕色罐子。
The ceiling is shrouded with clouds of smoke.	天花板被烈烈升起的煙霧籠罩。
You feel like you're floating on air.	你感覺自己在飄浮。
As your hand nears the coals, you discover that they are burning. 	當你的手靠近煤炭時，你發現它們在燃燒。
The coals are glowing. 	煤炭在發光。
You don't know how to use a crystal ball. 	你不知道怎麼用水晶球。
Crystal balls, useful only to those initiated into the ways of wizardry.  	水晶球，只對懂得巫術之道的人有用。
Whether it's because that thing is too far to reach, has sharp, nasty claws, and wicked teeth, or because it glares at you, you decide you'd better not touch it. 	不管是因為那東西太遠夠不著、有尖銳可怕的爪子和兇惡的牙齒，還是因為它瞪著你，你決定最好別碰它。
It looks like a sculpture of some weird, bat-winged creature.	它看起來像某種怪異的蝙蝠翅膀生物的雕像。
The bat-winged creature must be some sort of familiar.  There is an uncanny look in its eyes, and you don't want to look at it too closely.  It is clearly magical.	蝙蝠翅膀生物應該是某種魔寵。它的眼睛有種詭異的光，你不想太仔細看它。它顯然是有魔法的。
It's not familiar enough with you to want to chat. 	它和你還不夠熟，不想聊天。
On closer observation, you discover that they cute little fish are piranhas.  You wisely keep your fingers out.	仔細看，你發現那些可愛的小魚是食人魚。你明智地把手指遠遠放著。
It's a bowl of pretty little fish.	這是一碗漂亮的小魚。
The floor has an oily, glassy feel to it. 	地板摸起來油膩、有玻璃感。
The floor is almost completely covered by a strange symbol.	地板幾乎完全被一個奇異的符號覆蓋。
Don't touch -- that stuff looks corrosive.	別碰——那東西看起來是腐蝕性的。
The jar is filled with a corrosive-looking green substance.	罐子裡裝滿了看起來腐蝕性的綠色物質。
You'll never get a head that way!  Besides, you don't really need a face-lift yet.  	那樣你永遠成不了大人物！而且，你還真的不需要拉皮手術。
A replacement part for a magical face-lift.	魔法拉皮手術的替換零件。
It's a jar of dried Mantray jerky.  Yum!  (Not.)	這是一罐乾曼特雷肉乾。好吃！（其實不然。）
Don't touch the mortar -- you'd be terribly embarrassed if you made it accidentally fire.	別碰杵臼——如果你不小心讓它發射，會超級尷尬。
A mortar, complete with the traditional pestle. 	完整的杵臼。
Your garage is already full of junk; you don't need to add to the clutter.	你的車庫已經堆滿雜物；用不著再增加亂七八糟的東西。
Odds and ends.	零零碎碎的東西。
Ends and odds.	五花八門的玩意。
Things and stuff.	各種各樣的東西。
Jeff's jimcracks.	傑夫的小玩意。
Magical junk and mystical garbage.	魔法垃圾和神祕廢物。
You may not be a Wizard, but you have learned that touching a pentagram can be bad for one's health.	你不是法師，但你已經知道碰五芒星對身體不好。
A pentagram, used in incantations to conjure spirits.	五芒星，用來在咒語中召喚靈魂。
Glimpsing the skull and crossbones on this jar, you wisely leave it alone. 	看到這罐子上的骷髏骨頭標誌，你明智地不去碰它。
The label says "Instant Fire -- Just Add Water." 	標籤上寫著「即時之火——只需加水」。
Someone is watching you.	有人在看著你。
Tall shelves with books and odds and ends suited to magic line the walls. The ceiling and the far wall are mysterious indeed.  There is a strange symbol on the floor.  You also see a wide variety of arcane objects. 	高聳的書架和各式魔法用品堆滿了牆壁。天花板和遠牆神祕莫測。地上有奇異的符號。你也看到形形色色的秘術物品。
You see a wide variety of arcane objects.  For example: 	你看到形形色色的秘術物品。舉例來說：
Scrolls covered with mysterious symbols and arcane incantations.	布滿神祕符號和秘術咒語的卷軸。
A toaster oven, very rarely used -- electricity hasn't been invented yet. 	烤箱，很少用到——電力還沒被發明出來。
Crystal balls, useful only to those initiated into the ways of witches.	水晶球，只有通曉巫術之道的人才用得上。
Books dealing with sorcery, necromancy, and other occult subjects. 	討論魔法、死靈術和其他神祕學的書籍。
Dried Mantray jerky. 	乾製曼特雷肉乾。
A balance scale.  Zara uses it to measure powders and to maintain the magical balance.	天秤。札拉用它來量取粉末，維持魔法平衡。
A hooded robe for when it rains in here.	下雨時穿的帽篷斗篷。
Tinsel and chaff, very good for avoiding radar.	金屬絲和糠秕，非常擅長躲避雷達。
It wouldn't be a good idea to throw things in here.  You might break something and anger Zara. 	在這裡亂扔東西不是好主意。你可能會打破什麼東西，惹怒札拉。
You've already done that.	你已經做過了。
As you read the spell scroll, the spell is ingrained in your mind.	當你讀著法術卷軸時，法術刻入了你的心靈。
You weigh the consequences of taking the balance scale, and decide that, on balance, it's not such a good idea.	你權衡拿走天秤的後果，最後決定這不是好主意。
An ancient balance scale.  Zara thinks it will help her maintain a sense of balance. 	一個古老的天秤。札拉認為它能幫助她維持平衡感。
The burning incense fills the room with a strange, fiery scent.	燃燒的香料充滿房間，散發出奇異的火熱香氣。
None of the scrolls is in a language you have ever seen.	所有卷軸上的語言都是你沒見過的。
There are a few Dead Sea scrolls, a couple of Red Sea scrolls, a C++ scroll (written in assembly language), and others even more esoteric. 	有一些死海卷軸、幾份紅海卷軸、一個 C++ 卷軸（用組合語言寫的），還有其他更深奧的。
The tinsel reminds you that there are only 250 shopping days left until Christmas.	金屬絲讓你想起距離聖誕節只剩 250 個購物日。
Tinsel left over from last Christmas. 	去年聖誕節留下的金屬絲。
You wish you had your great-great-great-great-grandson here so he could tell you how to work this.  But since he isn't even born yet, you decide you have no use for the toaster oven.	你希望你的曾曾曾曾孫在這裡，這樣他可以告訴你怎麼用。但既然他還沒出生，你決定烤箱對你沒用。
"I am Zara, and my companion is Damiano.  The items in this shop are designed for those skilled in the use of magic. "	「我是札拉，我的夥伴是達米亞諾。本店的物品是為精於施魔法的人設計的。」
"We have very little for ones such as you who have not been initiated, but what we have could prove useful."	「對於像你這樣未入門的人，我們幾乎沒什麼，但我們有的東西可能會派上用場。」
"So, you return to my shop.  Ask of me what you will, but keep it to the point."	「所以，你又回來了。儘管問我吧，但別囉嗦。」
"An Aura is a Spell of protection surrounding something.  The town is still protected by the Aura cast by the great spellcaster Erana." 	「光環是一種保護咒語，圍繞著什麼東西。這座鎮仍然受到偉大法師伊瑞娜施的光環保護。」
"She is a powerful and wicked hag.  You would be wise to avoid her.  She cursed the Baron von Spielburg when he tried to drive her away."	「她是一位強大且邪惡的女巫。你應該避開她。當史蒂芬·馮·史畢柏格男爵試圖驅趕她時，她詛咒了他。」
"He was once a great leader of this land until he was foolish enough to anger Baba Yaga."	「他曾是這片土地的偉大領導者，直到他愚蠢地惹怒了芭芭雅嘎。」
"This is Baba Yaga's curse, cast upon the Baron years ago:"	「這是芭芭雅嘎在多年前對男爵施下的詛咒：」
"'Upon von Spielburg and all his clan, this the curse I now demand:  What I Will shall come full measure, so shall ye lose all that ye treasure.'" 	「『在馮·史畢柏格及其全族之上，我現在宣判此詛咒：我之意志將如願實現，你們將失去一切珍寶。』」
"There is always a way to break a curse; possibly Erasmus knows more about this." 	「打破詛咒總有辦法；伊拉斯謨可能知道更多。」
"Damiano is both my familiar and my friend.  We share our lives and our magic."	「達米亞諾既是我的精靈伙伴，也是我的朋友。我們分享彼此的生命和魔法。」
"That is the spell that lets you cast a magical flame upon your enemy.  The spell scroll will cost you 60 silver."	「那是讓你對敵人施魔火的咒語。法術卷軸要花你 60 銀幣。」
"Erasmus makes a point of studying the effects of Magic upon mortals.  There is little about Magic in this area that Erasmus does not know."	「伊拉斯謨特別研究魔法對凡人的影響。這片區域的魔法事項，伊拉斯謨幾乎無所不知。」
"Erana was a powerful Spellcaster who lived long ago.  She brought peace to this valley.  Even now her spell protects this town from violence or foul magic."	「伊瑞娜是一位很久以前的強大法師。她為這個山谷帶來了平和。至今她的咒語仍保護著這座鎮不受暴力或黑暗魔法傷害。」
"Her final resting place is due north of town, and it is a place of both safety and healing.  It is known as Erana's Peace."	「她最後的安息之所在鎮正北方，那是一個安全又治癒的地方。它被稱為伊瑞娜的安寧之地。」
"Erasmus is a Wizard and a Spellcaster who knows much about this area.  He lives in a tower northeast of town at the top of a steep mountain called Zauberberg."  	「伊拉斯謨是一位法師和法術施放者，對這片區域知之甚詳。他住在鎮東北方一座陡峭山頂上的塔裡，那座山叫做魔法山。」
"He can be very helpful if approached properly, but he has a strange sense of humor."	「如果方式得當，他會很樂意幫助你，但他的幽默感很奇特。」
"We are a people of Power and Magic, and live in the forests far beyond the mountains to the west."	「我們是力量與魔法之民，住在西邊山脈遠方的森林裡。」
"A Familiar is a creature of magical abilities which has been summoned to serve the Wizard." 	「精靈伙伴是一種具有魔法能力的生物，被召喚來侍奉法師。」
"The Summoning  of a Familiar is a most powerful spell, and can be cast but once.  It binds the Wizard and the Familiar to the ends of their lives."	「召喚精靈伙伴是最強大的咒語，只能施放一次。它將法師和精靈伙伴綁定到生命的終點。」
"The more powerful the Wizard, the more powerful the Familiar, although you cannot always judge power by a Familiar's shape."	「法師越強大，精靈伙伴就越強大，雖然你不能根據精靈伙伴的外形判斷力量。」
"The Fetch Spell allows you to lift or lower a lightweight object from a distance.  The spell scroll will cost you 40 silvers." 	「取物術讓你能從遠處提起或放下輕物體。法術卷軸要花你 40 銀幣。」
"The Healing Potion will cost you 50 silver.  It is made by the healer outside of town."	「治癒藥劑要花你 50 銀幣。它是由鎮外的治療師製作的。」
"Master the Arts Arcane, use those skills to vanquish the evil curse, and you will become a true Hero!"	「精通秘術藝術，用那些技能消滅邪惡的詛咒，你就會成為真正的英雄！」
"Baba Yaga's hut is magical.  It stands on chicken legs, and you must know the rhyme to enter."	「芭芭雅嘎的小屋是魔法的。它站在雞腿上，你必須知道咒語才能進入。」
"When you have mastered nine spells, have the Power to cast all, and proven yourself worthy by accomplishing a great deed, then you must undergo initiation to become full Wizard." 	「當你精通九道法術、具有施放所有法術的力量，並通過成就偉大事跡證明自己的價值時，你就必須接受入會儀式成為正式的法師。」
"There is a place in the distant south where you must journey, but first you must become a hero here."	「在遠方的南邊有一個你必須前往的地方，但首先你必須在這裡成為英雄。」
"There are many entrances to the Halls of Magical Mastery in the south."	「在南邊的魔法精通殿堂有很多入口。」
"After you have gained skill and a good reputation in Magic, you should journey south."	「在你獲得魔法的技能和良好聲譽後，你應該向南前往。」
"If you are indeed worthy of being a Wizard, you will find a way to those Halls."	「如果你確實值得成為法師，你會找到通往那些殿堂的路。」
"If you have the skill of Magic, you can learn the way to cast spells by reading magical scrolls." 	「如果你有魔法的技能，你可以通過閱讀魔法卷軸來學習施放咒語的方法。」
"Without the skill, you have no Power.  The more you practice spell casting, the greater you shall become. "	「沒有技能，你就沒有力量。你練習施法越多，你就會變得越強大。」
"It is a spell that allows you at first to unfasten simple locks and knots.  As you gain in skill, you can even open doors with it.  The spell scroll will cost you 30 silver."	「這是一個咒語，最初讓你打開簡單的鎖和繩結。隨著技能提升，你甚至能用它打開門。法術卷軸要花你 30 銀幣。」
"To the north of the town, surrounded by the mountains, is an Alpine valley that is rumored to be the final resting place for Erana, although no one is certain what happened to her."	「在鎮北邊，被群山環繞的地方，有一個高山谷地，據傳是伊瑞娜最後的安息之所，但沒人確定她發生了什麼。」
"It is certainly a magical place of safety. There is also supposed to be a gift there for Magic Users who are clever enough to find it."	「那肯定是個魔法的安全之地。據說那裡還有一份禮物等著夠聰明的魔法使用者去尋找。」
"A true Magic User has the innate affinity for Magic.  There is also the ability to store Power, which ordinary mortals do not have."	「真正的魔法使用者具有與魔法的內在親和力。還有儲存力量的能力，這是普通凡人沒有的。」
"We have potions of Healing, Vigor, and Power for purchase from our shop."	「我們的店裡有治癒、活力和力量藥劑供購買。」
"Power is the essence of Magic, that which the Wizard shapes and is shaped by."	「力量是魔法的本質，法師既形成它，也被它形成。」
"The Power Potion restores your magical energy, and costs 75 silver."	「力量藥劑恢復你的魔法能量，價格是 75 銀幣。」
"I have no interest in entering Baba Yaga's hut and therefore do not know the rhyme." 	「我對進入芭芭雅嘎的小屋沒有興趣，因此不知道咒語。」
"The scrolls we sell are magical.  You have but to read the spell, and you will learn it."	「我們賣的卷軸是魔法的。你只要讀了咒語，就會學到它。」
"What I sell here are merely tools to help those who have power."	「我在這裡賣的只是幫助那些有力量的人的工具。」
"You may purchase restorative potions and scrolls from which you may learn spells, if you have the potential."  	「如果你有潛力，你可以購買補藥和卷軸來學習咒語。」
"We sell several Magical Spells on study scrolls.  You may purchase Fire Dart for 60 silver, Fetch for 40 silver, or the Open Spell for 30 silver."  	「我們在學習卷軸上出售多種魔法咒語。你可以花 60 銀幣購買火焰鏢、花 40 銀幣購買取物術，或花 30 銀幣購買開啟術。」
"I also know you can find a spell if you learn the secret of Erana's Peace."	「我也知道如果你學會伊瑞娜的安寧之地的祕密，你可以找到一個咒語。」
"There is much magic in this world for those who know how to use it.  There is magic in this little town, and a good deal of magic in this valley."	「對那些知道如何使用的人來說，這個世界裡有很多魔法。這個小鎮裡有魔法，山谷裡有大量魔法。」
"There is an Aura protecting this town from danger.  Within most of its walls, there can be no act of violence or cruel magic.  Even so, it is prudent to avoid dark places."	「有一個光環保護這座鎮免受危害。在它的大多數牆壁內，不可能有暴力或殘忍魔法的行為。即便如此，避開暗處也是明智的。」
"There is much power in this valley, and it attracts those who use magic.  I am here, Erasmus has his house on Zauberberg, and even Baba Yaga has her hut cooped up somewhere around here."	「這個山谷裡有很多力量，吸引那些使用魔法的人。我在這裡，伊拉斯謨在魔法山有他的房子，甚至芭芭雅嘎的小屋也在這一帶某處。」
"Vigor potions restore your Stamina after you have exerted yourself.  They cost 25 silver each."	「活力藥劑在你消耗體力後恢復你的耐力。每瓶 25 銀幣。」
"A Wizard is one who both shapes Magic and is shaped by it.  Erasmus and I are the only Wizards in this valley." 	「法師是既形成魔法，也被魔法形成的人。伊拉斯謨和我是這個山谷裡唯一的法師。」
"That is the Spell that lets you place magical energy upon a weapon.  The energy will be released as magical damage when you hit your enemy."	「那是讓你把魔法能量附加在武器上的咒語。當你擊中敵人時，能量會以魔法傷害的形式釋放出去。」
"I am both human and Faery Folk.  I draw my power from both.  My name is Zara.  This is my shop." 	「我既是人類，也是妖精。我從兩者身上汲取力量。我叫札拉。這是我的店。」
It's a good thing you can't get close to Zara.  With her electrifying personality, the results could be shocking. 	好在你靠不近札拉。以她電擊般的性格，後果可能會很令人震驚。
Zara has a mysterious, unearthly look to her.  You have the feeling that she is not a person to trifle with.	札拉看起來神祕而超凡。你有種感覺，她不是可以輕易對付的人。
"The powers of magic are reserved for those with the potential to use them.  I sense no such potential in you."	「魔法的力量是為那些有潛力使用它們的人保留的。我在你身上感不到這樣的潛力。」
"I detect that you have not the money to purchase that item.  Do not toy with me!"	「我看出你沒有錢買那個東西。別跟我玩花樣！」
"May this aid you on your Quest!"	「願這能幫助你完成你的任務！」
Aura	光環
Damiano	達米亞諾
Fire Dart	火焰鏢
Faery Folk	妖精
Familiar	精靈伙伴
Healing	治癒
Journey	旅程
Magic 	魔法
Potential	潛力
Power	力量
Power Potion	力量藥劑
Scrolls	卷軸
Vigor	活力
Zap	閃電
Zara 	札拉
"Reward for return of lost ring. Inquire at the Healer's." 	「失物招領：遺失的戒指。詢問治療師。」
This poster is rather dusty and faded.  The picture is of a small child with braids.  "Reward of 50 gold coins for the safe return of Elsa von Spielburg. Inquire at Spielburg Castle gates."  	這張海報相當塵埃落定且褪色。圖片是一個梳著辮子的小女孩。「艾爾莎·馮·史畢柏格安全歸來獎勵 50 金幣。詢問史畢柏格城堡門衛。」
"Reward of 30 gold coins for the Capture or Death of the Brigand Warlock. Description:  short, ugly, and wears brightly colored robes.  Has habit of laughing continually.  Inquire at Spielburg Castle gates." 	「山賊術士懸賞。獎賞：30 金幣。敘述：身材矮小、相貌醜陋、穿著色彩鮮豔的長袍。有持續大笑的習慣。詢問史畢柏格城堡門衛。」
"Wanted:  Brigand Leader.  Description:  Unknown appearance, wears a cloak. Must provide proof of leader's identity.  Reward of 60 gold coins and title of Hero of the Realm.  Inquire at Spielburg Castle gates." 	「通緝：山賊首領。敘述：外貌不詳，穿著斗篷。必須提供首領身份的證明。獎賞：60 金幣及領地英雄稱號。詢問史畢柏格城堡門衛。」
"Notice:  Spell components needed.  Cash or trade for potions.  Inquire at the Healer's." 	「告示：需要法術成分。以現金或藥劑交易。詢問治療師。」
This poster seems to have been here a while.  It has a picture of a handsome, but arrogant young man.  "Reward of 50 gold coins for information leading to the return of Baronet Barnard von Spielburg.  Inquire at Spielburg Castle gates." 	這張海報似乎貼了一段時間。上面有一個英俊但傲慢的年輕男性的圖片。「巴納德·馮·史畢柏格小爵爺失蹤。獎賞：50 金幣。詢問史畢柏格城堡門衛。」
If you take the poster, no other adventurer will be able to read it. 	如果你拿走這張海報，其他冒險者將無法讀到它。
There are a variety of vegetables for sale, and the shop keeper is a Centaur.	有各種各樣的蔬菜出售，店主是一位半人馬。
The barrels look too heavy to move. 	這些桶子看起來太重了，移不動。
The door is locked. 	門是鎖著的。
You see a dry goods store through the window. 	你通過窗戶看到一家乾貨店。
The store is locked. 	店是鎖著的。
There is no response.  The store must be closed for the evening.  The lock appears to be an extra heavy-duty model.	沒有回應。商店想必今晚打烊了。鎖看起來是特別堅固的款式。
There is no response.  The lock is of a simple type.	沒有回應。鎖是普通款式。
You see a nicely furnished living room through the window.  	你通過窗戶看到一間裝飾典雅的客廳。
You'd probably get arrested if you carved your initials in the door.	如果你在門上刻你的名字首字母，你可能會被逮捕。
The key doesn't seem to work. 	鑰匙似乎不起作用。
The white picket fence surrounds a small yard. 	白色柵欄圍繞著一個小院子。
The creature in charge of the Farmer's Mart is a rather lovely and shy-looking young centaur.	農業市集的負責人是一位相當可愛且害羞的年輕半人馬。
You see a charming young centaur with the upper torso of a teenager and the body of a filly.	你看到一位迷人的年輕半人馬，上半身是少年身材，下半身是小馬體型。
"Good day, and welcome to Spielburg.  Would you like to buy some of my nice fresh fruits or vegetables?"    	「你好，歡迎來到史畢柏格。你想買我的新鮮水果或蔬菜嗎？」
"I'm sorry, but I had to move you out of my stall!  It is very dangerous to sleep in the street at night.  I fear you have been robbed."  	「抱歉，但我必須把你從我的攤位裡搬出來！在街上睡覺很危險。恐怕你被搶了。」
"My father and I are the only centaurs in this valley."  	「我父親和我是這個山谷裡唯一的半人馬。」
You can smell apples as you approach this corner. 	當你接近這個角落時，你可以聞到蘋果的香氣。
"Perhaps another time, then."  	「那也許下次再說吧。」
"Apples are ten for a silver.  Do you want to buy my apples?"  	「蘋果是十個銀幣一份。你想買我的蘋果嗎？」
"Good day and welcome to Alpinehurst.  Do you wish to buy some nice, fresh vegetables?"  	「你好，歡迎來到阿爾皮尼赫斯特。你想買我的新鮮蔬菜嗎？」
"How much do you wish to spend?"  	「你想花多少錢？」
Apples 	蘋果
Carrots 	紅蘿蔔
Date  	約會
Market 	市場
Farmer 	農夫
Farm 	農場
Father 	父親
Mother 	母親
Parsnips 	歐洲防風草
Robbery 	搶劫
Rutabagas  	蕪菁
Sheriff 	治安官
Turnips 	蔓菁
Vegetables 	蔬菜
"My father won't let me date strangers." 	「我父親不允許我和陌生人約會。」
"There are still some apples left from last season in the barrel.  You may buy 10 for a silver, since they are so small."  	「桶裡還有上季留下的蘋果。因為很小，你可以用一枚銀幣買 10 個。」
"They have twice robbed my father of his money, and they have tried to steal our food during this winter.  That is because we farm outside of town."   	「他們搶過我父親兩次，今年冬天還想偷我們的食物。那是因為我們在城外務農。」
"The brigands would not dare try that in town.  The Sheriff would stop them fast."   	「山賊不敢在城裡那樣做。治安官會立刻阻止他們。」
"Carrots are my favorite vegetable.  They are so crisp and sweet."  	「紅蘿蔔是我最喜歡的蔬菜。脆又甜。」
"Thank you, but my Father thinks I am too young.  He would not permit it. But perhaps next year..."	「謝謝你，但我父親認為我太年輕了。他不會同意。也許明年……」
"This is where I sell things from my father's farm."  	「我在這裡賣我父親農場的東西。」
"My father is a fine farmer."  	「我父親是個優秀的農夫。」
"We have some land to the north of town.  It isn't very big, but we grow many things."   	「我們在城北有些土地。不是很大，但我們種了許多東西。」
"You should be here during harvest time.  Then you would see many fruits and vegetables."   	「你應該在收割季來。那時你會看到許多水果和蔬菜。」
"My father is Heinrich Pferdefedern."  	「我父親是海因里希·費德費德恩。」
"My mother has been dead for three years now.  I still miss her."  	「我母親已經去世三年了。我還是想念她。」
"I am Hilde, daughter of Heinrich Pferdefedern, the farmer."   	「我是希爾德，海因里希·費德費德恩的女兒，他是農夫。」
"Parsnips can be made into a tasty pie."  	「歐洲防風草可以做成美味的派。」
"Many robbers ran up to father as he trotted back to town.  My father tried to fight, but they hurt him badly.  They then ran away to the southwest."    	「許多強盜在我父親小跑回城時撲向他。我父親試圖反擊，但他們把他打得很慘。之後他們向西南逃走。」
"Rutabagas keep well over the winter months."   	「蕪菁在冬季保存得很好。」
"Our Sheriff is very brave.  He told me so himself."  	「我們的治安官非常勇敢。他自己跟我說的。」
"Turnips are good if you cook them in stews."  	「蔓菁煮成燉菜很好吃。」
"We have many kinds of fresh vegetables for sale today.  There are carrots, rutabagas, parsnips, and potatoes right from the ground at five for a silver. They are very good for you.  We also have some apples." 	「我們今天有許多新鮮蔬菜要賣。有紅蘿蔔、蕪菁、歐洲防風草和剛挖出來的馬鈴薯，5 個一枚銀幣。對你非常有益。我們還有一些蘋果。」
"I'm sorry, but my Father won't allow me to accept flowers from strangers." 	「抱歉，但我父親不允許我接受陌生人的花。」
This house is the same color as the Sheriff's office around the corner.	這棟房子的顏色和附近的治安官辦公室一樣。
You are in the northeast section of town.   The buildings are all brightly painted and the air is filled with the fragrance of apples.  This appears to be a market street.	你在城鎮的東北部。建築物都漆成鮮艷的顏色，空氣中飄著蘋果的香氣。這看起來像是市場街。
Unlike an Ogre, YOU can read!	不像食人妖，你是看得懂字的！
The lock appears to be an extra heavy-duty model.	這個鎖看起來是特別堅固的型號。
Turn around.	轉身。
The door appears to be locked, but the lock is of a simple type.	門看起來是鎖著的，但鎖是簡單的類型。
You reach for your money but come up empty-handed.  Unable to pay for your goods, you put the merchandise back. 	你摸向荷包卻一無所獲。因為付不起錢，你把商品放回去。
You're a little short on cash.  Perhaps you can find work somewhere. 	你的現金有點不足。也許你可以找到工作。
You can smell apples as you approach this corner.  	當你接近這個角落時，你可以聞到蘋果的香氣。
You pick out the freshest-looking vegetables you can find, and pay the lady a silver piece.	你挑出看起來最新鮮的蔬菜，付給那位女士一枚銀幣。
You carefully select ten of the best apples from the barrel, and pay Hilde a silver piece.	你小心地從桶裡選出 10 個最好的蘋果，付給希爾德一枚銀幣。
"Vegetables are five for a silver.  Would you like to buy some?" 	「蔬菜 5 個一枚銀幣。你要買一些嗎？」
The scales are used to weigh the vegetables. 	這個天平是用來稱量蔬菜的。
Ah, fresh air!	啊，新鮮空氣！
It is but a small stall, used for the daily sale of whatever local produce has not been confiscated by the brigands.	這只是個小攤位，用來販售每天沒被山賊沒收的當地農產品。
The selection is meagre and the appearance is not of the best, but the aromas are strangely enticing.  A barrel contains some small apples, and there are several types of vegetables on the counter. 	選擇不多，外觀也不怎樣，但香氣卻奇異地誘人。一個桶裡裝著一些小蘋果，櫃檯上還有幾種蔬菜。
There is no one around.  The markets are closed for the night.	附近沒人。市場已經打烊。
All of the produce has been taken in for the night.	所有農產品都已經收進來過夜。
Round stones have been set in the ground to make a walkway. 	圓石被鑲入地面做成走道。
Square stones make up the walkway. 	方形石頭組成走道。
It is a simple but prosperous-looking general store.  It looks like it might provide some staples that would prove useful to a traveler (such as if an adventuring party asks you to join them).  	這是一家簡樸但看起來很興隆的雜貨店。看起來可能有一些對旅行者有用的日用品（比如冒險隊要你加入時）。
You can see very little through the window. 	你從窗戶看不到多少。
The candelabra looks as though it is made of solid gold. 	這個燭台看起來像是純金做的。
Only the Shadow knows for sure. 	只有暗影知道。
Looks like solid oak.	看起來像是實心橡木。
You've looked in there already.	你已經看過裡面了。
The glowing embers from the fire cast a dim light in the room.	火焰中發光的餘燼在房間裡投下昏暗的光線。
You don't know much about art, but you know what you like... and that's not it. 	你對藝術不太了解，但你知道自己喜歡什麼……而這不是。
It's much too high to reach. 	太高了，夠不著。
